,순이익증가율,순이익증가률개별,순이익증가률연결
2830,-141.38,-512.5,-151.47
2831,1254789.63,11111111.11,11111111.11
2832,1254789.63,11111111.11,11111111.11
2833,1254789.63,11111111.11,11111111.11
2834,-47.18,-44.25,-47.18
2835,38.53,31.39,38.53
2836,55.49,118.14,55.49
2837,93.21,93.21,0.0
2838,163.57,-2.1,163.57
2839,-19.8,-17.58,-20.03
2840,-18.26,-16.4,-18.49
2841,64.12,29.76,71.31
2842,69.22,31.53,70.16
2843,-66.42,-44.24,-66.76
2844,19.26,38.45,9.55
2845,24.86,-23.76,21.38
2846,136.73,158.2,125.73
2847,25.48,28.22,23.8
2848,-35.77,-35.58,-35.86
2849,-55.61,-58.01,-55.87
2850,-76.55,-84.99,-76.55
2851,-457.74,-777.98,-457.74
2852,1254789.63,11111111.11,11111111.11
2853,1254789.63,11111111.11,11111111.11
2854,-85.67,13.11,-50.73
2855,530.18,-47.52,1234.85
2856,-39.34,61.48,-45.61
2857,-46.93,96.88,-50.97
2858,-26.52,-72.24,-24.26
2859,186.71,179.62,185.8
2860,-4.4,46.39,-9.32
2861,-30.14,-77.96,-27.8
2862,-516.53,-1550.97,-527.67
2863,-14.75,11111111.11,11111111.11
2864,9.87,4.05,10.02
2865,-2.87,97.57,-22.45
2866,-188.15,-208.47,-188.15
2867,1254789.63,11111111.11,11111111.11
2868,1254789.63,11111111.11,11111111.11
2869,-161.33,-161.33,11111111.11
2870,1254789.63,11111111.11,11111111.11
2871,1254789.63,11111111.11,11111111.11
2872,-59.93,11111111.11,11111111.11
2873,161.99,30.52,113.14
2874,-2.39,45.19,-4.67
2875,-15.8,11.49,-14.91
2876,-73.55,-12.3,-76.31
2877,14.02,-23.22,-11.33
2878,-3.33,-21.7,6.79
2879,-24.24,9.87,-36.66
2880,61.84,-143.9,59.07
2881,45.35,11111111.11,-84.88
2882,40.21,-19.54,38.98
2883,-33.94,34.91,-35.51
2884,-62.67,-57.31,-46.11
2885,-28.62,34.59,-45.45
2886,19.54,-58.98,29.72
2887,-235.24,-207.93,-184.57
2888,1254789.63,11111111.11,11111111.11
2889,1254789.63,11111111.11,11111111.11
2890,-33.71,11111111.11,11111111.11
2891,-97.29,-110.06,-99.27
2892,277.75,11111111.11,280.32
2893,143.48,212.14,143.48
2894,-228.89,-233.62,-228.89
2895,1254789.63,11111111.11,11111111.11
2896,-1903.68,-1903.68,11111111.11
2897,1254789.63,11111111.11,11111111.11
2898,1254789.63,11111111.11,11111111.11
2899,1254789.63,11111111.11,11111111.11
2900,1254789.63,11111111.11,11111111.11
2901,16.9,-29.04,-28.38
2902,-9.92,-22.08,-11.08
2903,-23.4,-25.73,-21.08
2904,42.64,25.04,44.1
2905,69.88,82.97,69.81
2906,6.64,33.66,2.95
2907,66.59,52.66,53.53
2908,-7.99,12.67,-2.04
2909,-137.26,-120.34,-135.86
2910,52.03,11111111.11,11111111.11
2911,-47.39,-47.39,0.0
2912,-12.73,-12.73,0.0
2913,18.93,18.93,0.0
2914,1385.43,-3.05,1385.43
2915,-41.22,-40.89,-36.59
2916,42.85,37.26,31.05
2917,-83.43,-82.33,-81.91
2918,-18.03,-22.69,-22.66
2919,-42.1,-47.11,-42.1
2920,253.51,253.51,0.0
2921,3.31,189.42,789.25
2922,0.47,-22.96,0.84
2923,17.55,40.27,17.07
2924,-36.78,-35.61,-34.39
2925,-36.26,-20.62,-40.19
2926,42.47,-30.93,42.7
2927,-60.86,-32.82,-55.46
2928,1141.44,635.86,1009.47
2929,-100.97,-97.88,-95.43
2930,-7.62,869.67,97.86
2931,-26.44,-34.88,-26.75
2932,52.99,68.07,54.44
2933,-2.23,-2.31,-2.55
2934,-38.52,-28.35,-40.26
2935,21.9,14.99,23.18
2936,0.41,-1.74,0.14
2937,-52.92,-49.8,-53.3
2938,-1.71,-1.31,-0.67
2939,5.16,-22.45,2031.39
2940,-42.95,-43.61,-45.96
2941,-100.65,-2343.21,-81.71
2942,610.27,11111111.11,610.27
2943,19.05,-43.62,25.86
2944,-22.32,-4.1,-21.82
2945,49.26,37.21,30.41
2946,-75.62,-20.95,-69.44
2947,-5.93,50.42,-24.87
