회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
(주)남성,4270,18-Dec,0.23,0.13,1.0,0.0,0.0
(주)남성,4270,19-Dec,0.13,,1.0,0.0,0.0
(주)내츄럴엔도텍,168330,13-Dec,675.61,4036.59,0.0,0.0,0.0
(주)내츄럴엔도텍,168330,14-Dec,4036.59,-805.99,0.0,0.0,0.0
(주)내츄럴엔도텍,168330,15-Dec,-805.99,-34.59,1.0,0.0,0.0
(주)내츄럴엔도텍,168330,16-Dec,-34.59,-1.96,1.0,0.0,0.0
(주)내츄럴엔도텍,168330,17-Dec,-1.96,-6.1,1.0,0.0,0.0
(주)내츄럴엔도텍,168330,18-Dec,-6.1,-4.35,1.0,0.0,0.0
(주)내츄럴엔도텍,168330,19-Dec,-4.35,,1.0,0.0,0.0
(주)네오리진,94860,11-Dec,1.61,1.27,0.0,0.0,0.0
(주)네오리진,94860,12-Dec,1.27,-2.65,0.0,0.0,0.0
(주)네오리진,94860,13-Dec,-2.65,-8.5,1.0,0.0,0.0
(주)네오리진,94860,14-Dec,-8.5,-19.24,1.0,0.0,0.0
(주)네오리진,94860,15-Dec,-19.24,9.47,1.0,0.0,0.0
(주)네오리진,94860,16-Dec,9.47,2.48,0.0,0.0,0.0
(주)네오리진,94860,17-Dec,2.48,-12.63,0.0,0.0,0.0
(주)네오리진,94860,18-Dec,-12.63,3.22,1.0,0.0,0.0
(주)네오리진,94860,19-Dec,3.22,,0.0,0.0,0.0
(주)네오오토,212560,15-Dec,9.39,10.05,0.0,0.0,0.0
(주)네오오토,212560,16-Dec,10.05,1.7,0.0,0.0,0.0
(주)네오오토,212560,17-Dec,1.7,2.49,0.0,0.0,0.0
(주)네오오토,212560,18-Dec,2.49,0.84,0.0,0.0,0.0
(주)네오오토,212560,19-Dec,0.84,,1.0,0.0,0.0
(주)네이블커뮤니케이션즈,153460,12-Dec,71.34,4.62,0.0,0.0,0.0
(주)네이블커뮤니케이션즈,153460,13-Dec,4.62,126.65,0.0,0.0,0.0
(주)네이블커뮤니케이션즈,153460,14-Dec,126.65,126.65,0.0,0.0,0.0
(주)네이블커뮤니케이션즈,153460,15-Dec,126.65,126.65,0.0,0.0,0.0
(주)네이블커뮤니케이션즈,153460,16-Dec,126.65,-454.29,0.0,0.0,0.0
(주)네이블커뮤니케이션즈,153460,17-Dec,-454.29,-454.29,1.0,0.0,0.0
(주)네이블커뮤니케이션즈,153460,18-Dec,-454.29,-454.29,1.0,0.0,0.0
(주)네이블커뮤니케이션즈,153460,19-Dec,-454.29,,1.0,0.0,0.0
(주)네이처셀,7390,11-Dec,-1.42,-0.67,1.0,0.0,0.0
(주)네이처셀,7390,12-Dec,-0.67,1.54,1.0,0.0,0.0
(주)네이처셀,7390,13-Dec,1.54,-2.98,0.0,0.0,0.0
(주)네이처셀,7390,14-Dec,-2.98,-2.61,1.0,0.0,0.0
(주)네이처셀,7390,15-Dec,-2.61,-7.91,1.0,0.0,0.0
(주)네이처셀,7390,16-Dec,-7.91,-0.81,1.0,0.0,0.0
(주)네이처셀,7390,17-Dec,-0.81,7.8,1.0,0.0,0.0
(주)네이처셀,7390,18-Dec,7.8,8.3,0.0,0.0,0.0
(주)네이처셀,7390,19-Dec,8.3,,0.0,0.0,0.0
(주)네패스,33640,11-Dec,3.47,7.99,0.0,0.0,0.0
(주)네패스,33640,12-Dec,7.99,-0.1,0.0,0.0,0.0
(주)네패스,33640,13-Dec,-0.1,0.66,1.0,0.0,0.0
(주)네패스,33640,14-Dec,0.66,0.42,1.0,0.0,0.0
(주)네패스,33640,15-Dec,0.42,1.36,1.0,0.0,0.0
(주)네패스,33640,16-Dec,1.36,3.32,0.0,0.0,0.0
(주)네패스,33640,17-Dec,3.32,4.79,0.0,0.0,0.0
(주)네패스,33640,18-Dec,4.79,11.65,0.0,0.0,0.0
(주)네패스,33640,19-Dec,11.65,,0.0,0.0,0.0
(주)넥스턴바이오사이언스,89140,11-Dec,40.44,158.14,0.0,0.0,0.0
(주)넥스턴바이오사이언스,89140,12-Dec,158.14,284.57,0.0,0.0,0.0
(주)넥스턴바이오사이언스,89140,13-Dec,284.57,2169.07,0.0,0.0,0.0
(주)넥스턴바이오사이언스,89140,14-Dec,2169.07,7799.11,0.0,0.0,0.0
(주)넥스턴바이오사이언스,89140,15-Dec,7799.11,97436.72,0.0,0.0,0.0
(주)넥스턴바이오사이언스,89140,16-Dec,97436.72,1532.55,0.0,0.0,0.0
(주)넥스턴바이오사이언스,89140,17-Dec,1532.55,-624.03,0.0,0.0,0.0
(주)넥스턴바이오사이언스,89140,18-Dec,-624.03,2394.07,1.0,0.0,0.0
(주)넥스턴바이오사이언스,89140,19-Dec,2394.07,,0.0,1.0,0.0
(주)넥스트아이,137940,11-Dec,17771.19,4655.9,0.0,0.0,0.0
(주)넥스트아이,137940,12-Dec,4655.9,17771.19,0.0,0.0,0.0
(주)넥스트아이,137940,13-Dec,17771.19,102.65,0.0,0.0,0.0
